,Date,Close
1149,2012-02-29,16.99
1150,2012-03-01,16.09
1151,2012-03-02,15.94
1152,2012-03-05,16.48
1153,2012-03-06,19.31
1154,2012-03-07,17.73
1155,2012-03-08,16.4
1156,2012-03-09,15.95
1157,2012-03-12,13.83
1158,2012-03-13,13.63
1159,2012-03-14,14.23
1160,2012-03-15,13.54
1161,2012-03-16,12.76
1162,2012-03-19,13.79
1163,2012-03-20,14.47
1164,2012-03-21,14.37
1165,2012-03-22,14.58
1166,2012-03-23,13.69
1167,2012-03-26,13.18
1168,2012-03-27,14.12
1169,2012-03-28,14.45
1170,2012-03-29,14.2
1171,2012-03-30,13.94
1172,2012-04-02,14.08
1173,2012-04-03,14.46
1174,2012-04-04,15.08
1175,2012-04-05,15.27
1176,2012-04-09,17.14
1177,2012-04-10,18.56
1178,2012-04-11,18.23
1179,2012-04-12,15.62
1180,2012-04-13,17.67
1181,2012-04-16,17.75
1182,2012-04-17,16.53
1183,2012-04-18,16.69
1184,2012-04-19,16.68
1185,2012-04-20,15.59
1186,2012-04-23,16.98
1187,2012-04-24,16.09
1188,2012-04-25,15.32
1189,2012-04-26,14.58
1190,2012-04-27,14.74
1191,2012-04-30,15.34
1192,2012-05-01,14.86
1193,2012-05-02,15.11
1194,2012-05-03,15.74
1195,2012-05-04,17.06
1196,2012-05-07,17.4
1197,2012-05-08,17.66
1198,2012-05-09,18.51
1199,2012-05-10,17.57
1200,2012-05-11,18.34
1201,2012-05-14,19.98
1202,2012-05-15,20.2
1203,2012-05-16,20.17
1204,2012-05-17,21.97
1205,2012-05-18,22.3
1206,2012-05-21,19.99
1207,2012-05-22,20.41
1208,2012-05-23,20.44
1209,2012-05-24,19.61
1210,2012-05-25,20.2
1211,2012-05-29,19.45
1212,2012-05-30,21.86
1213,2012-05-31,21.81
1214,2012-06-01,24.32
1215,2012-06-04,23.98
1216,2012-06-05,22.68
1217,2012-06-06,20.01
1218,2012-06-07,19.73
1219,2012-06-08,18.87
1220,2012-06-11,21.09
1221,2012-06-12,19.91
1222,2012-06-13,21.34
1223,2012-06-14,19.76
1224,2012-06-15,18.39
1225,2012-06-18,16.88
1226,2012-06-19,16.45
1227,2012-06-20,15.31
1228,2012-06-21,17.74
1229,2012-06-22,16.12
1230,2012-06-25,17.99
1231,2012-06-26,17.65
1232,2012-06-27,17.46
1233,2012-06-28,17.53
1234,2012-06-29,15.32
1235,2012-07-02,15.46
1236,2012-07-03,15.46
1237,2012-07-05,15.85
1238,2012-07-06,15.83
1239,2012-07-09,16.52
1240,2012-07-10,16.93
1241,2012-07-11,16.63
1242,2012-07-12,16.89
1243,2012-07-13,15.22
1244,2012-07-16,15.62
1245,2012-07-17,15.16
1246,2012-07-18,14.53
1247,2012-07-19,14.26
1248,2012-07-20,14.93
1249,2012-07-23,16.89
1250,2012-07-24,18.38
1251,2012-07-25,17.33
1252,2012-07-26,15.92
1253,2012-07-27,15.33
1254,2012-07-30,16.54
1255,2012-07-31,17.39
1256,2012-08-01,17.41
1257,2012-08-02,16.24
1258,2012-08-03,14.44
1259,2012-08-06,14.68
1260,2012-08-07,14.86
1261,2012-08-08,14.15
1262,2012-08-09,13.85
1263,2012-08-10,13.57
1264,2012-08-13,12.43
1265,2012-08-14,13.14
1266,2012-08-15,13
1267,2012-08-16,12.62
1268,2012-08-17,12.01
1269,2012-08-20,12.61
1270,2012-08-21,13.49
1271,2012-08-22,13.69
1272,2012-08-23,14.44
1273,2012-08-24,13.85
1274,2012-08-27,14.9
1275,2012-08-28,15.46
1276,2012-08-29,15.8
1277,2012-08-30,16.5
1278,2012-08-31,15.69
1279,2012-09-04,16.38
1280,2012-09-05,16.27
1281,2012-09-06,14.3
1282,2012-09-07,13.19
1283,2012-09-10,14.92
1284,2012-09-11,14.79
1285,2012-09-12,14.24
1286,2012-09-13,13.47
1287,2012-09-14,13.53
1288,2012-09-17,13.4
1289,2012-09-18,12.81
1290,2012-09-19,12.79
1291,2012-09-20,12.78
1292,2012-09-21,12.65
1293,2012-09-24,12.96
1294,2012-09-25,13.84
1295,2012-09-26,15.1
1296,2012-09-27,13.77
1297,2012-09-28,14.34
1298,2012-10-01,14.61
1299,2012-10-02,14.56
1300,2012-10-03,14.29
1301,2012-10-04,13.75
1302,2012-10-05,13.09
1303,2012-10-08,13.69
1304,2012-10-09,14.66
1305,2012-10-10,14.84
1306,2012-10-11,14.35
1307,2012-10-12,14.71
1308,2012-10-15,13.98
1309,2012-10-16,13.84
1310,2012-10-17,13.86
1311,2012-10-18,13.74
1312,2012-10-19,15.48
1313,2012-10-22,15.2
1314,2012-10-23,17.46
1315,2012-10-24,16.95
1316,2012-10-25,16.69
1317,2012-10-26,16.55
1318,2012-10-31,17.26
1319,2012-11-01,15.36
1320,2012-11-02,16.34
1321,2012-11-05,17.14
1322,2012-11-06,16.37
1323,2012-11-07,18.04
1324,2012-11-08,17.25
1325,2012-11-09,17.24
1326,2012-11-12,15.62
1327,2012-11-13,15.47
1328,2012-11-14,16.58
1329,2012-11-15,16.96
1330,2012-11-16,15.53
1331,2012-11-19,14.33
1332,2012-11-20,14.02
1333,2012-11-21,14.1
1334,2012-11-23,18.64
1335,2012-11-26,14.19
1336,2012-11-27,14.66
1337,2012-11-28,14.31
1338,2012-11-29,13.84
1339,2012-11-30,14.54
1340,2012-12-03,15.36
1341,2012-12-04,15.69
1342,2012-12-05,15.05
1343,2012-12-06,15.05
1344,2012-12-07,14.48
1345,2012-12-10,14.64
1346,2012-12-11,14.28
1347,2012-12-12,14.65
1348,2012-12-13,15.21
1349,2012-12-14,15.55
1350,2012-12-17,15.17
1351,2012-12-18,14.54
1352,2012-12-19,16.03
1353,2012-12-20,16.37
1354,2012-12-21,16.47
1355,2012-12-24,16.47
1356,2012-12-26,17.95
1357,2012-12-27,18.01
1358,2012-12-28,16.6
1359,2012-12-31,17.22
1360,2013-01-02,13.92
1361,2013-01-03,13.74
1362,2013-01-04,13.06
1363,2013-01-07,13.09
1364,2013-01-08,12.83
1365,2013-01-09,12.83
1366,2013-01-10,12.67
1367,2013-01-11,12.36
1368,2013-01-14,12.55
1369,2013-01-15,12.35
1370,2013-01-16,12.52
1371,2013-01-17,12.64
1372,2013-01-18,11.47
1373,2013-01-22,11.32
1374,2013-01-23,11.31
1375,2013-01-24,11.46
1376,2013-01-25,11.75
1377,2013-01-28,12.46
1378,2013-01-29,12.23
1379,2013-01-30,13.15
1380,2013-01-31,13.31
1381,2013-02-01,12.07
1382,2013-02-04,13.65
1383,2013-02-05,13.16
1384,2013-02-06,12.78
1385,2013-02-07,12.91
1386,2013-02-08,12.66
1387,2013-02-11,12.35
1388,2013-02-12,12.02
1389,2013-02-13,12.19
1390,2013-02-14,11.72
1391,2013-02-15,11.56
1392,2013-02-19,11.47
1393,2013-02-20,13.31
1394,2013-02-21,13.68
1395,2013-02-22,12.71
1396,2013-02-25,16.72
1397,2013-02-26,14.81
1398,2013-02-27,13.15
1399,2013-02-28,13.7
1400,2013-03-01,13.61
1401,2013-03-04,12.77
1402,2013-03-05,12.38
1403,2013-03-06,12.44
1404,2013-03-07,12.04
1405,2013-03-08,11.64
1406,2013-03-11,10.68
1407,2013-03-12,10.84
1408,2013-03-13,10.54
1409,2013-03-14,10.22
1410,2013-03-15,10.08
1411,2013-03-18,11.78
1412,2013-03-19,12.59
1413,2013-03-20,11.59
1414,2013-03-21,12.55
1415,2013-03-22,12.28
1416,2013-03-25,12.53
1417,2013-03-26,11.7
1418,2013-03-27,12.13
1419,2013-03-28,11.69
1420,2013-04-01,12.26
1421,2013-04-02,11.56
1422,2013-04-03,12.67
1423,2013-04-04,12.6
1424,2013-04-05,12.54
1425,2013-04-08,12.12
1426,2013-04-09,11.86
1427,2013-04-10,11.7
1428,2013-04-11,11.47
1429,2013-04-12,11.11
1430,2013-04-15,15.16
1431,2013-04-16,12.51
1432,2013-04-17,14.65
1433,2013-04-18,15.48
1434,2013-04-19,13.59
1435,2013-04-22,13.16
1436,2013-04-23,12.23
1437,2013-04-24,12.49
1438,2013-04-25,12.48
1439,2013-04-26,12.2
1440,2013-04-29,12.36
1441,2013-04-30,12.21
1442,2013-05-01,13.02
1443,2013-05-02,12.25
1444,2013-05-03,11.67
1445,2013-05-06,11.7
1446,2013-05-07,11.7
1447,2013-05-08,11.66
1448,2013-05-09,11.9
1449,2013-05-10,11.64
1450,2013-05-13,11.45
1451,2013-05-14,11.78
1452,2013-05-15,11.76
1453,2013-05-16,11.89
1454,2013-05-17,11.45
1455,2013-05-20,11.83
1456,2013-05-21,12.2
1457,2013-05-22,12.34
1458,2013-05-23,12.57
1459,2013-05-24,12.61
1460,2013-05-28,13.09
1461,2013-05-29,13.37
1462,2013-05-30,13.21
1463,2013-05-31,14.23
1464,2013-06-03,14.2
1465,2013-06-04,14.46
1466,2013-06-05,15.62
1467,2013-06-06,14.97
1468,2013-06-07,13.59
1469,2013-06-10,13.91
1470,2013-06-11,15.17
1471,2013-06-12,16.69
1472,2013-06-13,14.85
1473,2013-06-14,15.48
1474,2013-06-17,15.16
1475,2013-06-18,14.77
1476,2013-06-19,14.87
1477,2013-06-20,18.22
1478,2013-06-21,16.77
1479,2013-06-24,17.74
1480,2013-06-25,16.61
1481,2013-06-26,15.33
1482,2013-06-27,14.89
1483,2013-06-28,15.21
1484,2013-07-01,14.92
